experiment,scenario,session,mean_joint_risk,mean_disruption,mean_learning_loss,intervention_rate,stop_rate
w_a1.55_b0.35_g1.65,substation,14,0.32196895526872604,0.01575,0.011250000000000001,0.225,0.0
w_a1.55_b0.35_g1.65,substation,15,0.32205614616556477,0.016333333333333335,0.011666666666666667,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,substation,16,0.31951178776081685,0.018083333333333333,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,substation,17,0.3239769669941995,0.018083333333333337,0.012916666666666668,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,substation,18,0.3227024547181891,0.02041666666666667,0.014583333333333334,0.2916666666666667,0.0
w_a1.55_b0.35_g1.65,substation,19,0.3248415190959257,0.018083333333333337,0.012916666666666668,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,substation,20,0.3241011495960046,0.017500000000000005,0.012500000000000002,0.25,0.0
w_a1.55_b0.35_g1.65,substation,21,0.32342279365092996,0.019250000000000003,0.01375,0.275,0.0
w_a1.55_b0.35_g1.65,substation,22,0.3240602880261099,0.01575,0.011250000000000001,0.225,0.0
w_a1.55_b0.35_g1.65,substation,23,0.3234122214282758,0.017500000000000005,0.012500000000000002,0.25,0.0
w_a1.55_b0.35_g1.65,substation,24,0.31875518071286846,0.019250000000000003,0.01375,0.275,0.0
w_a1.55_b0.35_g1.65,substation,25,0.320663228254336,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,substation,26,0.3248649287217483,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,substation,27,0.33035289739098217,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,substation,28,0.31555428263700097,0.019833333333333335,0.014166666666666668,0.2833333333333333,0.0
w_a1.55_b0.35_g1.65,substation,29,0.3195787212654313,0.017500000000000005,0.012500000000000002,0.25,0.0
w_a1.55_b0.35_g1.65,substation,30,0.32802328585673374,0.017500000000000005,0.012500000000000002,0.25,0.0
w_a1.55_b0.35_g1.65,substation,31,0.3298741024399285,0.015166666666666669,0.010833333333333335,0.21666666666666667,0.0
w_a1.55_b0.35_g1.65,substation,32,0.327404357077991,0.018083333333333333,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,substation,33,0.324243054872705,0.017500000000000005,0.012500000000000002,0.25,0.0
w_a1.55_b0.35_g1.65,substation,34,0.3220472821578433,0.018083333333333337,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,substation,35,0.32187501051269585,0.0175,0.0125,0.25,0.0
w_a1.55_b0.35_g1.65,substation,36,0.3264799913236058,0.019250000000000003,0.013750000000000002,0.275,0.0
w_a1.55_b0.35_g1.65,substation,37,0.3207856086717355,0.018666666666666668,0.013333333333333334,0.26666666666666666,0.0
w_a1.55_b0.35_g1.65,substation,38,0.3211889777259089,0.016333333333333335,0.011666666666666667,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,substation,39,0.3231513851692931,0.016333333333333335,0.011666666666666665,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,mining,0,0.31506048258678354,0.018083333333333337,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,mining,1,0.31610820206896134,0.017500000000000005,0.0125,0.25,0.0
w_a1.55_b0.35_g1.65,mining,2,0.32116268161888223,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,mining,3,0.3150639518460852,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,mining,4,0.3206312836399319,0.015166666666666669,0.010833333333333334,0.21666666666666667,0.0
w_a1.55_b0.35_g1.65,mining,5,0.3214652675286596,0.017500000000000005,0.0125,0.25,0.0
w_a1.55_b0.35_g1.65,mining,6,0.3152277000827724,0.016333333333333335,0.011666666666666667,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,mining,7,0.31718870280295497,0.018666666666666668,0.013333333333333334,0.26666666666666666,0.0
w_a1.55_b0.35_g1.65,mining,8,0.3138703836122502,0.019250000000000003,0.01375,0.275,0.0
w_a1.55_b0.35_g1.65,mining,9,0.31404976506376914,0.018083333333333333,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,mining,10,0.3171489135986042,0.01575,0.011250000000000001,0.225,0.0
w_a1.55_b0.35_g1.65,mining,11,0.3164758700773687,0.019833333333333335,0.014166666666666668,0.2833333333333333,0.0
w_a1.55_b0.35_g1.65,mining,12,0.3168772394183404,0.019833333333333335,0.014166666666666668,0.2833333333333333,0.0
w_a1.55_b0.35_g1.65,mining,13,0.32005662856328265,0.0175,0.0125,0.25,0.0
w_a1.55_b0.35_g1.65,mining,14,0.3190170192950849,0.016333333333333335,0.011666666666666665,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,mining,15,0.3160678795356882,0.018083333333333333,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,mining,16,0.32458423152008026,0.015166666666666669,0.010833333333333335,0.21666666666666667,0.0
w_a1.55_b0.35_g1.65,mining,17,0.31856030263917173,0.017500000000000005,0.0125,0.25,0.0
w_a1.55_b0.35_g1.65,mining,18,0.31690549137713214,0.016333333333333335,0.011666666666666667,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,mining,19,0.31776175493165904,0.018083333333333333,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,mining,20,0.3193715397777802,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,mining,21,0.3230903146089601,0.019250000000000003,0.01375,0.275,0.0
w_a1.55_b0.35_g1.65,mining,22,0.3205272676219424,0.01575,0.011250000000000001,0.225,0.0
w_a1.55_b0.35_g1.65,mining,23,0.31647697681328246,0.0175,0.0125,0.25,0.0
w_a1.55_b0.35_g1.65,mining,24,0.3203791962688358,0.01575,0.011250000000000001,0.225,0.0
w_a1.55_b0.35_g1.65,mining,25,0.3190567654932443,0.018083333333333333,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,mining,26,0.30953528466504066,0.01575,0.011250000000000001,0.225,0.0
w_a1.55_b0.35_g1.65,mining,27,0.3146653410801381,0.016333333333333335,0.011666666666666667,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,mining,28,0.3159157610499908,0.016333333333333335,0.011666666666666665,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,mining,29,0.3129480257883041,0.021000000000000005,0.015000000000000003,0.3,0.0
w_a1.55_b0.35_g1.65,mining,30,0.3221104271318009,0.018666666666666668,0.013333333333333334,0.26666666666666666,0.0
w_a1.55_b0.35_g1.65,mining,31,0.3083215666176855,0.01983333333333333,0.014166666666666668,0.2833333333333333,0.0
w_a1.55_b0.35_g1.65,mining,32,0.3164622645275941,0.018083333333333337,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,mining,33,0.311911903616909,0.019250000000000003,0.013750000000000002,0.275,0.0
w_a1.55_b0.35_g1.65,mining,34,0.30979428776057333,0.019250000000000003,0.013750000000000002,0.275,0.0
w_a1.55_b0.35_g1.65,mining,35,0.3141777797866341,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,mining,36,0.3191331136586132,0.01691666666666667,0.012083333333333333,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,mining,37,0.3129579585273387,0.018083333333333337,0.012916666666666668,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,mining,38,0.31179816516027414,0.019833333333333335,0.014166666666666668,0.2833333333333333,0.0
w_a1.55_b0.35_g1.65,mining,39,0.31337843460675135,0.015166666666666667,0.010833333333333334,0.21666666666666667,0.0
w_a1.55_b0.35_g1.65,oil_gas,0,0.31000637298146316,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,oil_gas,1,0.3089462738070266,0.018083333333333337,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,oil_gas,2,0.30652029829906874,0.022166666666666668,0.015833333333333335,0.31666666666666665,0.0
w_a1.55_b0.35_g1.65,oil_gas,3,0.3138137256683323,0.0175,0.0125,0.25,0.0
w_a1.55_b0.35_g1.65,oil_gas,4,0.31515518629537664,0.018083333333333337,0.012916666666666668,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,oil_gas,5,0.31276641056655025,0.018083333333333333,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,oil_gas,6,0.3138900917158592,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,oil_gas,7,0.3203778633701238,0.017500000000000005,0.012500000000000002,0.25,0.0
w_a1.55_b0.35_g1.65,oil_gas,8,0.31413380865369855,0.01575,0.011250000000000001,0.225,0.0
w_a1.55_b0.35_g1.65,oil_gas,9,0.3150946763358727,0.019250000000000003,0.01375,0.275,0.0
w_a1.55_b0.35_g1.65,oil_gas,10,0.31303589503008794,0.021000000000000005,0.015000000000000001,0.3,0.0
w_a1.55_b0.35_g1.65,oil_gas,11,0.3182893513423212,0.016333333333333335,0.011666666666666667,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,oil_gas,12,0.314409957143352,0.016333333333333335,0.011666666666666667,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,oil_gas,13,0.3156966179065616,0.018083333333333337,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,oil_gas,14,0.3178036968580963,0.016333333333333335,0.011666666666666667,0.23333333333333334,0.0
w_a1.55_b0.35_g1.65,oil_gas,15,0.3211157136041185,0.018666666666666668,0.013333333333333334,0.26666666666666666,0.0
w_a1.55_b0.35_g1.65,oil_gas,16,0.3154655020079929,0.02041666666666667,0.014583333333333334,0.2916666666666667,0.0
w_a1.55_b0.35_g1.65,oil_gas,17,0.3157469445024276,0.019250000000000003,0.013750000000000002,0.275,0.0
w_a1.55_b0.35_g1.65,oil_gas,18,0.31733433981744547,0.018083333333333337,0.012916666666666668,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,oil_gas,19,0.3118073583956427,0.019833333333333335,0.014166666666666666,0.2833333333333333,0.0
w_a1.55_b0.35_g1.65,oil_gas,20,0.31000120045722157,0.018666666666666668,0.013333333333333334,0.26666666666666666,0.0
w_a1.55_b0.35_g1.65,oil_gas,21,0.32104229672882767,0.018083333333333337,0.012916666666666667,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,oil_gas,22,0.313739594281783,0.019833333333333335,0.014166666666666668,0.2833333333333333,0.0
w_a1.55_b0.35_g1.65,oil_gas,23,0.31178634340811323,0.021000000000000005,0.015000000000000001,0.3,0.0
w_a1.55_b0.35_g1.65,oil_gas,24,0.3142368798259365,0.019250000000000003,0.013750000000000002,0.275,0.0
w_a1.55_b0.35_g1.65,oil_gas,25,0.3096143975661792,0.022166666666666668,0.01583333333333333,0.31666666666666665,0.0
w_a1.55_b0.35_g1.65,oil_gas,26,0.31409834274862686,0.019250000000000003,0.013750000000000002,0.275,0.0
w_a1.55_b0.35_g1.65,oil_gas,27,0.31991006528508714,0.018083333333333337,0.012916666666666668,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,oil_gas,28,0.3102914393720077,0.01925,0.013750000000000002,0.275,0.0
w_a1.55_b0.35_g1.65,oil_gas,29,0.3157271541288658,0.0175,0.0125,0.25,0.0
w_a1.55_b0.35_g1.65,oil_gas,30,0.3217421694993075,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,oil_gas,31,0.3166035863906678,0.01691666666666667,0.012083333333333335,0.24166666666666667,0.0
w_a1.55_b0.35_g1.65,oil_gas,32,0.3127027769764419,0.018083333333333337,0.012916666666666668,0.25833333333333336,0.0
w_a1.55_b0.35_g1.65,oil_gas,33,0.3171308437169316,0.021000000000000005,0.015000000000000001,0.3,0.0
